Rank,Title,Series,Number in series,Author,Score,Votes,Avg rating,Number of ratings
749,WYRFORRA,,,McKenna Miller,99,1, 4.55,11
749,The Fisherman and the Gene Thief,,,Lizzie Newell,99,1,it was amazing 5.00,
749,All the Birds in the Sky,,,Charlie Jane Anders,99,1, 3.58,31342
749,Larque on the Wing,,,Nancy Springer,99,1, 3.77,116
749,The Slynx,,,Tatyana Tolstaya,99,1, 3.81,3328
796,The Reavers of Skaith  ,The Book of Skaith ,3,Leigh Brackett,98,1, 3.71,237
796,Hot Cargo ,Healing ,,Nicki Bennett,98,1, 3.59,366
796,Astra: Synchronicity,,,Lisa Eskra,98,1, 3.35,162
796,Severance ,Sanctuary Series ,,Jess Anastasi,98,1,it was amazing 5.00,5
796,Starpilot's Grave ,Mageworlds ,2,Debra Doyle,98,2, 4.05,699
796,Delirium ,Debt Collector  ,,Susan Kaye Quinn,98,1, 3.88,582
796,iD ,The Machine Dynasty ,2,Madeline Ashby,98,1, 3.64,587
796,Tech-Heaven ,The Nanotech Succession ,0,Linda Nagata,98,1, 3.63,240
796,Cold Warriors,,,Clare Dargin,98,1, 3.24,46
796,An Officer's Duty ,Theirs Not to Reason Why ,2,Jean Johnson,98,2, 4.13,3100
796,Heritage Of The Star,,,Sylvia Engdahl,98,1, 4.07,296
796,Sky Woman: Book One of the Seeder Saga,,,Britt DeLaney,98,1, 3.90,30
796,Son of Avonar ,The Bridge of D'Arnath ,1,Carol Berg,98,1, 3.77,2951
796,Earth Star ,Earth Girl ,2,Janet  Edwards,98,1, 4.10,1833
796,Slated ,Slated ,1,Teri Terry,98,1, 4.07,23126
796,"Beast, Part One ",Beast ,1,Ella James,98,1, 3.65,3534
796,Shkarr,,,She S. Rutan,98,1, 4.40,15
796,Armstrong Dent and the Guerrilla Revolucion ,,,Aeyess,98,1,really liked it 4.00,11
796,Yankari: A Talking Earth Tale,,,Ann Christy,98,1, 4.66,32
796,Lost Whispers,,,Samantha D. Meshla,98,1, 4.69,16
796,Oden ,The Invasion Trilogy ,,Jessica Frances,98,1, 4.21,34
796,Miriam's Talisman,,,Elenor Gill,98,1, 3.42,59
796,The Eve of War ,Veetu Industries ,3,Rae Gee,98,1, 4.50,6
796,The Lottery and Other Stories,,,Shirley Jackson,98,1, 4.06,58014
796,Dragonsdawn ,Pern ,9,Anne McCaffrey,98,1, 4.20,32042
796,Dogsbody,,,Diana Wynne Jones,98,1, 4.08,5926
796,The Protectorit ,The Protectorit ,1,K.L. Tharp,98,1, 4.28,99
796,Heartless,,,Marissa Meyer,98,1, 4.06,67093
796,No Vain Loss ,No Ordinary Star ,3,M.C. Frank,98,1,really liked it 4.00,82
796,The Inheritance Trilogy ,,1-3.5,N.K. Jemisin,98,1, 4.21,4357
796,The Phoenix Code,,,Catherine Asaro,98,1, 3.47,340
796,Fever Rising,,,K.M. Riley,98,1,really liked it 4.00,21
796,The Fisherman and the Sperm Thief,,,Lizzie Newell,98,1, 3.67,6
796,"Love's Body, Dancing In Time",,,L. Timmel Duchamp,98,1, 3.83,35
830,The Light of the Earth As Seen from Tartarus,,,Annie Bellet,97,1, 3.88,33
830,Something About Harry ,Healing ,,Nicki Bennett,97,1, 3.45,153
830,Sanctuary ,Sanctuary Series ,1,Jess Anastasi,97,1, 4.21,14
830,When the Silence Ends,,,Jade Kerrion,97,1, 4.41,51
830,Arkfall,,,Carolyn Ives Gilman,97,1, 3.73,140
830,Stealing the Elf-King's Roses,,,Diane Duane,97,1, 3.63,475
830,Of Wind and Sand,,,Sylvie Bérard,97,1, 3.83,47
830,Megan’s Double Miracle ,Men of Space Station One ,9,Marla Monroe,97,1, 4.09,85
830,Rain In The Moonlight: Book Two of the Seeder Saga,,,Britt DeLaney,97,1, 4.27,11
830,Earth 2788 ,,0.25,Janet  Edwards,97,1, 4.16,198
830,Real ,Real ,1,Katy Evans,97,1, 4.20,95527
830,The Violet and the Tom,,,Eve Ocotillo,97,1, 3.83,2470
830,Armstrong Dent and the Death of the Sun ,,,Aeyess,97,1, 3.50,12
830,Strikers ,Strikers ,,Ann Christy,97,1, 4.01,324
830,Descent ,Forgotten Origins Trilogy ,3,Tara Ellis,97,1, 4.37,76
830,Rift in the Sky ,Stratification ,3,Julie E. Czerneda,97,1, 4.13,502
830,Looking for a Hero,,,Joy Nash,97,1,liked it 3.00,2
830,Lightless ,Lightless ,,C.A. Higgins,97,1, 3.47,2313
830,Sappho's Agency,,,Lizzie Newell,97,1, 4.25,4
830,Outbreak ,Dr. Marissa Blumenthal ,1,Robin Cook,97,1, 3.98,52658
850,The Spacer's Blade and Other Stories,,,Annie Bellet,96,1, 4.56,9
850,Points of Departure,,,Pat Murphy,96,1, 3.84,115
850,The Switch II: Clockwork,,,Valjeanne Jeffers,96,1, 4.52,21
850,By Honor Betray'd ,,,Debra Doyle,96,2, 4.09,567
850,Earthseed ,Seed ,1,Pamela Sargent,96,1, 3.56,654
850,A Legacy of Stars,,,Danielle Ackley-McPhail,96,1, 4.50,14
850,The Temple at Landfall ,Celaeno ,3,Jane Fletcher,96,1, 4.06,698
850,Deception Well ,The Nanotech Succession ,2,Linda Nagata,96,1, 3.77,327
850,Making Them Happy ,The Men of Space Station One ,8,Marla Monroe,96,1, 4.03,88
850,Night's Daughter,,,Marion Zimmer Bradley,96,1, 3.51,469
850,When The Stars Walk Backwards,,,Kristine Williams,96,1, 4.11,19
850,This Girl ,Slammed ,3,Colleen Hoover,96,1, 4.16,67221
850,Die Klangweberin,,,Sarah Ash,96,1, 3.73,44
850,Armstrong Dent and the Thousand Year Death ,,,Aeyess,96,1, 3.83,12
850,Flying Season for the Mis-Recorded ,Silo 49 ,4,Ann Christy,96,1, 4.18,366
850,Never Fade ,The Darkest Minds ,2,Alexandra Bracken,96,1, 4.29,66821
850,The Transfer ,,0.1,Veronica Roth,96,1, 4.18,49714
850,The Heart of Valor ,Confederation ,3,Tanya Huff,96,2, 4.07,4738
850,Andra,,,Louise Lawrence,96,1, 3.87,121
850,Lives of the Monster Dogs,,,Kirsten Bakis,96,1, 3.66,2221
850,Company Town,,,Madeline Ashby,96,1, 3.54,4234
850,The Marrow Thieves,,,Cherie Dimaline,96,1, 4.08,7263
850,Green Mars ,Mars Trilogy ,2,Kim Stanley Robinson,96,1, 3.93,29621
850,Behind the Throne ,The Indranan War ,,K.B. Wagers,96,1, 3.85,2506
850,Peking falten,,,Hao Jingfang,96,1, 3.76,172
875,Grandmere's Secret,,,Valjeanne Jeffers,95,1, 4.50,18
875,Grazing the Long Acre,,,Gwyneth Jones,95,1, 3.75,12
875,After the Fall,,,Robin Summers,95,1, 3.60,230
875,The Tale of the Five: The Sword and the Dragon,,,Diane Duane,95,1, 4.13,71
875,Memory,,,Linda Nagata,95,1, 3.79,381
875,Winning Colors ,The Serrano Legacy ,3,Elizabeth Moon,95,3, 3.92,2990
875,Free Amazons of Darkover ,,,Marion Zimmer Bradley,95,1, 3.95,1279
875,Two Men for Piper ,The Men of Space Station One ,7,Marla Monroe,95,1, 4.06,97
875,Contract of Betrayal ,Spectras Arise Trilogy ,2,Tammy Salyer,95,1, 3.77,90
875,The Shining Girls,,,Lauren Beukes,95,1, 3.50,35869
875,The Invisible Guardian ,Baztán ,,Dolores Redondo,95,1, 3.80,8787
875,Wait for You ,Wait for You ,1,J. Lynn,95,1, 4.18,126007
875,Starters ,Starters ,1,Lissa Price,95,1, 3.90,38859
875,Armstrong Dent and the Ring of the Lords ,,,Aeyess,95,1, 3.73,15
875,Dark Till Dawn ,Silo 49 ,3,Ann Christy,95,1, 4.18,634
875,Raging Star ,Dust Lands ,3,Moira Young,95,1, 3.80,7743
875,The Son ,,0.3,Veronica Roth,95,1, 4.09,16439
875,Quest for Earth,,,S.E. Gilchrist,95,1, 2.73,11
875,The Abyss Surrounds Us ,The Abyss Surrounds Us ,1,Emily Skrutskie,95,1, 3.96,3990
875,After the Crown ,The Indranan War ,2,K.B. Wagers,95,1, 4.06,1392
875,The Birthday of the World and Other Stories,,,Ursula K. Le Guin,95,1, 4.29,3711
875,Sweet Child of Time: Episode Seven of The Chronicles of the Harekaiian,,,Shanna Lauffey,95,1,it was amazing 5.00,
897,The Chronicles of Mavin Manyshaped ,,1-3,Sheri S. Tepper,94,1, 4.23,313
897,Wind Follower,,,Carole  McDonnell,94,1, 3.77,74
897,The Time of Legend ,Immortal ,2,Valjeanne Jeffers,94,1, 4.40,42
897,Omnitopia Dawn ,Omnitopia ,1,Diane Duane,94,1, 3.74,824
897,Elfhome ,Elfhome ,3,Wen Spencer,94,3, 4.30,2402
897,A Soldier's Duty ,Theirs Not to Reason Why ,1,Jean Johnson,94,2, 3.98,4199
897,Contract of Defiance ,Spectras Arise Trilogy ,1,Tammy Salyer,94,1, 3.83,202
897,Eon: Dragoneye Reborn ,Eon ,1,Alison Goodman,94,1, 3.98,51358
897,Walking Disaster ,Beautiful ,2,Jamie McGuire,94,1, 4.22,155732
897,Armstrong Dent and the Temple of Solomon ,,,Aeyess,94,1, 3.90,20
897,Deep Dark ,Silo 49 ,2,Ann Christy,94,1, 4.04,919
897,Rebel Heart ,Dust Lands ,2,Moira Young,94,1, 3.88,18776
897,Aspho Fields ,Gears of War ,1,Karen Traviss,94,1, 4.10,3084
897,Falling in Love with Hominids,,,Nalo Hopkinson,94,1, 3.98,745
897,The Elite ,The Selection ,2,Kiera Cass,94,1, 4.02,339859
897,The Traitor ,,0.4,Veronica Roth,94,1, 4.17,16604
897,Shades of Treason ,Anomaly ,,Sandy Williams,94,1, 3.72,661
897,Sight ,The Delta Girls ,,Juliet Madison,94,1, 3.79,92
897,The Edge of the Abyss ,The Abyss Surrounds Us ,2,Emily Skrutskie,94,1, 4.16,1446
897,The Color of Distance,,,Amy Thomson,94,1, 4.26,715
897,Passenger ,Passenger ,1,Alexandra Bracken,94,1, 3.80,32327
918,The End of the Game ,,1-3,Sheri S. Tepper,93,1, 4.29,164
918,Deep Black Beyond,,,Annie Bellet,93,1, 4.25,12
918,Being Alien ,Saga of Tom Red-Clay ,2,Rebecca Ore,93,1, 3.76,100
918,Awake ,Asleep ,2,Wendy Raven McNair,93,1, 4.54,28
918,One for Kami,,,Charlene A. Wilson,93,2, 3.97,30
918,Weatherman,,,Lois McMaster Bujold,93,3, 4.22,1305
918,Goodbye for Now,,,Laurie Frankel,93,1, 3.58,3480
918,Contract of War ,Spectras Arise Trilogy ,3,Tammy Salyer,93,1, 3.98,64
918,Entwined with You ,Crossfire ,3,Sylvia Day,93,1, 4.19,168182
918,Armstrong Dent and the Kickapoo Borderland Band ,,,Aeyess,93,1, 3.79,14
918,Going Dark ,Silo 49 ,1,Ann Christy,93,1, 3.86,2072
918,The One ,The Selection ,3,Kiera Cass,93,1, 4.20,303355
918,The Initiate ,,0.2,Veronica Roth,93,1, 4.19,22256
918,Shoggoths in Bloom and Other Stories,,,Elizabeth Bear,93,1, 4.04,406
918,The End of This Day's Business,,,Katharine Burdekin,93,1, 3.89,28
918,Mine Tomorrow,,,Jackie Braun,93,1, 3.30,20
918,Everfair,,,Nisi Shawl,93,1, 3.25,1600
918,Wayfarer ,Passenger ,2,Alexandra Bracken,93,1, 3.86,10358
918,Sweet Child of Time,,,Shanna Lauffey,93,1,really liked it 4.00,3
937,Enclave,,,Kit Reed,92,1, 2.76,201
937,Someone To Watch Over Me,,,Tricia Sullivan,92,1, 3.57,61
937,The Living Blood ,African Immortals ,2,Tananarive Due,92,1, 4.33,1933
937,The Sky Inside ,The Sky Inside ,1,Clare B. Dunkle,92,1, 3.42,1735
937,You Shouldn't Call Me Mommy,,,Susan Tsui,92,1, 3.57,37
937,Lone Wolf Rising ,The Winters Family Saga ,1,Jami Brumfield,92,1, 3.71,730
937,Reading the Bones,,,Sheila Finch,92,1, 3.39,70
937,Blueeyedboy,,,Joanne Harris,92,1, 3.26,3896
937,The Zero Stone ,The Zero Stone ,1,Andre Norton,92,1, 3.95,1182
937,Losing Hope ,Hopeless ,2,Colleen Hoover,92,1, 4.35,90640
937,Armstrong Dent and the Crime of the Century ,,,Aeyess,92,1, 3.89,18
937,CHIMERAS ,Track Presius ,,E.E. Giorgi,92,1, 4.16,150
937,Ghost Ship ,Star Trek: The Next Generation ,1,Diane Carey,92,1, 3.19,1861
937,Under Different Stars ,Kricket ,1,Amy A. Bartol,92,1, 4.21,16038
937,Octavia's Brood: Science Fiction Stories from Social Justice Movements,,,Adrienne Maree Brown,92,1, 3.94,1823
937,The Day Her Heart Stood Still,,,Susan Grant,92,1, 3.82,141
937,World After ,Penryn & the End of Days ,2,Susan Ee,92,1, 4.20,80889
937,Remember the Future,,,Shanna Lauffey,92,1,it was amazing 5.00,3
955,Hav,,,Jan Morris,91,1, 3.89,378
955,Archangel Protocol ,LINK Angel ,1,Lyda Morehouse,91,1, 3.52,431
955,Vampire Princess Rising ,The Winters Family Saga ,2,Jami Brumfield,91,1, 4.33,227
955,The Hired Hands' Dilemma ,The Men of Space Station One ,3,Marla Monroe,91,1, 3.84,134
955,The Price of the Phoenix ,Star Trek Adventures ,4,Sondra Marshak,91,1, 3.36,593
955,Armstrong Dent and the Curious Case of Benjamin's Buttons ,,,Aeyess,91,1, 3.82,17
955,Probability Sun ,Probability ,2,Nancy Kress,91,1, 3.72,664
955,Kabu Kabu,,,Nnedi Okorafor,91,1, 3.96,1035
955,Califia's Daughters,,,Leigh Richards,91,1, 3.88,711
955,The Star Queen ,,0.5,Susan Grant,91,1, 3.88,197
955,A Strange Scottish Shore ,Emmaline Truelove ,2,Juliana  Gray,91,1, 3.68,658
955,Cold Welcome ,Vatta's Peace ,1,Elizabeth Moon,91,1, 3.98,2298
955,The Queen of the Tearling ,The Queen of the Tearling ,1,Erika Johansen,91,1, 4.02,72172
955,The Wonderful Flight to the Mushroom Planet,,,Eleanor Cameron,91,1, 4.03,2168
955,Gravity Spike,,,Shanna Lauffey,91,1, 4.25,4
970,Chaos Space ,Sentients of Orion ,2,Marianne de Pierres,90,2, 3.86,149
970,A Billion Days of Earth,,,Doris Piserchia,90,1, 3.59,70
970,The Color of Bones,,,Tracy Edward Wymer,90,1, 3.46,140
970,Zero Hour,,,Jordan Castillo Price,90,1, 3.91,517
970,The Fate of the Phoenix ,Star Trek Adventures ,,Sondra Marshak,90,1, 3.30,400
970,Armstrong Dent and the Edge of Earth ,,,Aeyess,90,1, 3.45,58
970,Eden ,Eden ,1,Louise Wise,90,1, 3.57,1269
970,Prodigy ,Legend ,2,Marie Lu,90,1, 4.28,183349
970,The Champion of Barésh ,Star #4; Star World Frontier ,1,Susan Grant,90,1, 4.14,507
970,A Most Extraordinary Pursuit ,Emmaline Truelove ,1,Juliana  Gray,90,1, 3.56,894
970,Into the Fire ,Vatta's Peace ,2,Elizabeth Moon,90,1, 4.10,1345
970,Forgotten Suns,,,Judith Tarr,90,1, 3.83,283
970,The Fates Divide ,Carve the Mark ,2,Veronica Roth,90,1, 3.93,13917
970,Children of the Morning,,,Shanna Lauffey,90,1, 3.80,15
984,Human to Human ,Saga of Tom Red-Clay ,3,Rebecca Ore,89,1, 3.66,70
984,Steal Across the Sky,,,Nancy Kress,89,1, 3.44,1164
984,The Twenty ,Barronlands Trilogy ,1,Claudia Carozza,89,1, 3.79,61
984,The Girls From Alcyone ,The Girls from Alcyone ,,Cary Caffrey,89,1, 3.78,1783
984,The Ranchers Take a Wife ,The Men of Space Station One ,1,Marla Monroe,89,1, 3.63,239
984,Exiles of the Stars ,Moon Magic ,2,Andre Norton,89,1, 3.95,516
984,The Last Warrior ,Lost Colony ,,Susan Grant,89,1, 3.64,208
984,Year One ,Chronicles of The One ,1,Nora Roberts,89,1, 4.05,43096
984,Null States: Book Two of the Centenal Cycle,,,Malka Ann Older,89,1, 3.87,874
984,Beyond the Empire ,The Indranan War ,3,K.B. Wagers,89,1, 4.03,863
984,Continuum,,,Shanna Lauffey,89,1,really liked it 4.00,10
995,The Awakeners: Northshore & Southshore ,,1-2,Sheri S. Tepper,88,1, 3.81,965
995,Gaia's Toys,,,Rebecca Ore,88,1, 3.48,40
995,Code of Conduct ,Jani Kilian Chronicles ,1,Kristine Smith,88,2, 3.73,1311
995,Mindscape,,,Andrea Hairston,88,1, 3.67,123
995,The Ruby Dice ,Saga of the Skolian Empire ,12,Catherine Asaro,88,1, 4.03,750
995,The People in the Trees,,,Hanya Yanagihara,88,1, 3.68,13847
995,City of Ruins ,Diving Universe ,2,Kristine Kathryn Rusch,88,2, 3.91,569
995,Elegy for a Lost Star ,Symphony of Ages ,5,Elizabeth Haydon,88,1, 4.04,5509
995,The Star Princess ,Star ,3,Susan Grant,88,1, 3.90,861
995,Heart of Iron ,Heart of Iron ,1,Ashley Poston,88,1, 3.80,3733
995,Believing is Seeing,,,Diana Wynne Jones,88,1, 3.81,410
995,The Future Memory Man,,,Shanna Lauffey,88,1, 4.25,4
1007,Becoming Alien ,Saga of Tom Red-Clay ,1,Rebecca Ore,87,1, 3.61,190
1007,Spherical Harmonic ,Saga of the Skolian Empire ,7,Catherine Asaro,87,1, 3.85,732
1007,Disobedience Means Death ,Rymellan ,1,Sarah Ettritch,87,1, 4.07,45
1007,Sharing the Female From Earth ,Lost in Space ,1,Marla Monroe,87,1, 3.97,73
1007,Allison Hewitt Is Trapped ,Zombie ,1,Madeleine Roux,87,1, 3.76,3883
1007,Requiem for the Sun ,Symphony of Ages ,4,Elizabeth Haydon,87,1, 3.99,6472
1007,Ice,,,Anna Kavan,87,1, 3.75,2894
1007,Silver Shark ,Kinsmen ,2,Ilona Andrews,87,1, 4.27,7571
1007,The Physician's Tale ,The Plague Tales ,3,Ann  Benson,87,1, 3.95,549
1007,Proud Man,,,Katharine Burdekin,87,1, 4.03,32
1007,The Blazing World and Other Writings,,,Margaret Cavendish,87,1, 3.26,629
1007,Sureblood ,Borderlands ,3,Susan Grant,87,1, 3.63,199
1007,Honor Among Thieves ,The Honors ,1,Rachel Caine,87,1, 3.90,2794
1007,A Secret Twice Hidden,,,Shanna Lauffey,87,1, 4.67,3
1021,Kinderen van Moeder Aarde ,De Toekomsttrilogie ,1,Thea Beckman,86,1, 4.20,3073
1021,Four Ways to Forgiveness,,,Ursula K. Le Guin,86,1, 4.17,2989
1021,The Panopticon,,,Jenni Fagan,86,1, 3.64,4381
1021,How to Lose an Extraterrestrial in 10 Days ,Otherworldly Men ,3,Susan Grant,86,2, 3.88,408
1021,The Masterharper of Pern ,Pern ,15,Anne McCaffrey,86,2, 4.23,21982
1021,Destiny: Child of the Sky ,Symphony of Ages ,3,Elizabeth Haydon,86,1, 4.13,10522
1021,Silent Blade ,Kinsmen ,1,Ilona Andrews,86,1, 3.96,9937
1021,Dreamstrider,,,Lindsay  Smith,86,1, 3.46,863
1021,Artificial Condition ,The Murderbot Diaries ,2,Martha Wells,86,1, 4.28,17592
1021,Plausible Deniability,,,Shanna Lauffey,86,1, 4.43,7
1031,Tsunami,,,L. Timmel Duchamp,85,1, 3.94,31
1031,Het Helse Paradijs ,De Toekomsttrilogie ,2,Thea Beckman,85,1, 4.17,1794
1031,Summer of Love,,,Lisa Mason,85,1, 3.92,300
1031,"Everlasting: Der Mann, der aus der Zeit fiel",,,Holly-Jane Rahlens,85,1, 4.01,606
1031,Prophecy: Child of Earth ,Symphony of Ages ,2,Elizabeth Haydon,85,1, 4.12,12077
1031,Android at Arms,,,Andre Norton,85,1, 3.71,261
1031,La Ballade de Trash,,,Jeanne-A Debats,85,1, 4.10,10
1031,Shatter Me ,Shatter Me ,1,Tahereh Mafi,85,1, 3.98,246702
1031,The Star Prince ,Star ,2,Susan Grant,85,1, 3.92,748
1031,Rogue Protocol ,The Murderbot Diaries ,3,Martha Wells,85,1, 4.28,13341
1031,The Homeward Bounders,,,Diana Wynne Jones,85,1, 3.90,3890
1031,The Time Shifters Chronicles volume 1: Episodes One through Five of the Chronicles of the Harekaiian,,,Shanna Lauffey,85,1,really liked it 4.00,4
1043,Watcher's Web ,Return of the Aghyrians ,1,Patty Jansen,84,1, 3.41,693
1043,Het Gulden Vlies van Thule ,De Toekomsttrilogie ,3,Thea Beckman,84,1, 4.19,1873
1043,Haven 6 ,A New Dawn ,3,Aubrie Dionne,84,1, 4.42,45
1043,"On a Red Station, Drifting",,,Aliette de Bodard,84,1, 3.83,1078
1043,The Keeper of the Isis Light ,Isis ,1,Monica Hughes,84,1, 3.85,1141
1043,Rhapsody: Child of Blood ,Symphony of Ages ,1,Elizabeth Haydon,84,1, 3.95,18194
1043,Battlestations! ,Star Trek: Fortunes Of War ,2,Diane Carey,84,1, 3.75,1050
1043,The Huntress,,,Michelle O'Leary,84,1, 3.79,190
1043,Les Abîmes d'Autremer,,,Danielle Martinigol,84,1, 4.25,81
1043,The Star King ,Star ,1,Susan Grant,84,1, 3.74,1964
1043,Exit Strategy ,The Murderbot Diaries ,4,Martha Wells,84,1, 4.41,11739
1054,Blood in the Fruit,,,L. Timmel Duchamp,83,1, 4.17,29
1054,Day by Night,,,Tanith Lee,83,1, 3.72,180
1054,His Name In Lights,,,Patty Jansen,83,1, 3.74,35
1054,Fey Lights,,,Liana Brooks,83,1, 4.32,25
1054,Angel on the Ropes,,,Jill Shultz,83,1, 3.69,62
1054,"Ōoku: The Inner Chambers, Volume 1 ",Ōoku: The Inner Chambers / 大奥 ,1,Fumi Yoshinaga,83,1, 3.93,2308
1054,The Solar Queen ,,1-2,Andre Norton,83,1, 4.14,394
1054,L'envol de l'abîme,,,Danielle Martinigol,83,1, 4.18,49
1054,My Favorite Earthling ,Otherworldly Men ,2,Susan Grant,83,1, 3.78,366
1063,Mother Aegypt and Other Stories,,,Kage Baker,82,2, 3.97,358
1063,Phoenix Café ,White Queen ,3,Gwyneth Jones,82,1, 3.73,55
1063,This Peaceful State of War,,,Patty Jansen,82,1, 4.31,36
1063,Beneath the Starry Sky ,1Night Stand ,70,Jessica E. Subject,82,2, 3.89,95
1063,Touched by an Alien ,"Katherine ""Kitty"" Katt ",1,Gini Koch,82,1, 3.68,5053
1063,Rediscovery  ,Darkover - Chronological Order ,,Marion Zimmer Bradley,82,1, 3.83,2106
1063,L'appel des abîmes,,,Danielle Martinigol,82,1, 4.19,36
1063,Provenance,,,Ann Leckie,82,1, 3.82,10074
1071,Wrapt in Crystal,,,Sharon Shinn,81,1, 3.53,1425
1071,The Far Horizon,,,Patty Jansen,81,1, 3.93,27
1071,When You Reach Me,,,Rebecca Stead,81,1, 4.09,78096
1071,The Fulfilments of Fate and Desire ,Wraeththu ,3,Storm Constantine,81,1, 4.28,667
1071,MILA 2.0 ,MILA 2.0 ,1,Debra Driza,81,1, 3.69,11115
1071,Your Planet or Mine? ,Otherworldly Men ,1,Susan Grant,81,1, 3.54,564
1071,The Kingdom of Gods ,Inheritance ,3,N.K. Jemisin,81,1, 3.95,13617
1078,Floating Worlds,,,Cecelia Holland,80,1, 3.53,476
1078,Charlotte's Army,,,Patty Jansen,80,1, 4.04,23
1078,Nekropolis,,,Maureen F. McHugh,80,1, 3.65,485
1078,The Silicon Mage ,Windrose Chronicles ,2,Barbara Hambly,80,2, 3.95,2131
1078,Windfalls,,,Jean Hegland,80,1, 3.69,280
1078,Refugees on Urloon,,,Melisse Aires,80,1, 3.58,24
1078,Heir Apparent ,Rasmussem Corporation ,2,Vivian Vande Velde,80,1, 4.10,9399
1078,The Bewitchments of Love and Hate ,Wraeththu ,2,Storm Constantine,80,1, 4.23,749
1078,Smoketown,,,Tenea D. Johnson,80,1, 3.65,103
1078,Night Shift ,Kate Daniels #6.5; SPI Files # 0.5; Psy-Changeling #12.5; Barbarian ,1,Nalini Singh,80,1, 4.09,8262
1078,Seven Surrenders ,Terra Ignota ,2,Ada Palmer,80,1, 4.19,3136
1089,The Deep Beyond: Cuckoo's Egg / Serpent's Reach,,,C.J. Cherryh,79,1, 4.08,354
1089,Imposter ,Harmony of Worlds ,3,Valerie J. Freireich,79,1, 3.87,30
1089,Twin-Bred ,Twin-Bred ,,Karen A. Wyle,79,1, 3.65,141
1089,Luminescence,,,Patty Jansen,79,1, 4.22,9
1089,The Academie ,Academie ,1,Amy Joy,79,1, 3.59,308
1089,Unacceptable Risk,,,Jeanette Grey,79,1, 4.03,58
1089,Void ,,1-3,Rhiannon Lassiter,79,1, 4.06,452
1089,The Enchantments of Flesh and Spirit ,Wraeththu ,1,Storm Constantine,79,1, 3.88,1312
1089,Alien Species Intervention ,,1-3,J.K. Accinni,79,79, 3.84,917
1089,Lauriat: A Filipino-Chinese Speculative Fiction Anthology,,,Charles Tan,79,1, 4.12,34
1089,An Apple for the Creature,,,Charlaine Harris,79,1, 3.87,7467
1089,The Starfarers Quartet,,,Vonda N. McIntyre,79,1, 3.60,35
1089,The Warlord's Daughter ,Borderlands ,2,Susan Grant,79,1, 3.69,401
1102,Motherlines ,Holdfast Chronicles ,2,Suzy McKee Charnas,78,2, 3.59,234
1102,Becoming Human ,Harmony of Worlds ,2,Valerie J. Freireich,78,1, 4.12,114
1102,The Silent Tower ,Windrose Chronicles ,1,Barbara Hambly,78,2, 3.93,3161
1102,Machine,,,Jennifer Pelland,78,1, 3.80,151
1102,Ultraviolet ,Ultraviolet ,1,R.J. Anderson,78,1, 3.77,8896
1102,The Rapture,,,Liz Jensen,78,1, 3.31,2149
1108,Dragon's Blood ,Pit Dragon Chronicles ,1,Jane Yolen,77,1,really liked it 4.00,11443
1108,The Fantastic Pulps,,,Peter Haining,77,1, 3.97,35
1108,Magic Graves ,,0.5,Jeaniene Frost,77,1, 4.15,10665
1108,The Scarlet Empress ,2176 Series ,5,Susan Grant,77,1, 3.90,339
1108,Judge ,Wess'Har Wars ,6,Karen Traviss,77,1, 3.90,486
1113,The Resistance ,The Declaration ,2,Gemma Malley,76,1, 3.75,6703
1113,Reach ,Twin-Bred ,2,Karen A. Wyle,76,1, 4.29,21
1113,Greenshift,,,Heidi Ruby Miller,76,1, 3.71,101
1113,Ghost Ship ,Theo Waitley #3; Liaden Universe ,15,Sharon Lee,76,3, 4.25,1736
1113,Cosmos Latinos: An Anthology of Science Fiction from Latin America and Spain,,,Andrea L. Bell,76,1, 3.92,60
1113,Icarus Descending,,,Elizabeth Hand,76,1, 3.79,150
1113,Magic Dreams ,,4.5,Ilona Andrews,76,1, 4.27,14675
1113,Once a Pirate,,,Susan Grant,76,1, 3.78,540
1113,Matriarch ,Wess'Har Wars ,4,Karen Traviss,76,1, 3.89,665
1122,Enemy Within ,Enemy ,1,Marcella Burnard,75,1, 3.65,1170
1122,The Stars Blue Yonder ,The Outback Stars ,,Sandra McDonald,75,3, 3.59,138
1122,Division,,,Karen A. Wyle,75,1, 4.38,24
1122,Paradise 21 ,A New Dawn ,1,Aubrie Dionne,75,1, 3.71,235
1122,Sambaqui: A Novel of Pre-History,,,Stella Carr,75,1, 3.80,5
1122,Zoo City,,,Lauren Beukes,75,2, 3.64,9486
1122,Shiawase no Zanzou,,,Parinoush Saniee,75,1, 4.22,6338
1122,Ally ,Wess'Har Wars ,5,Karen Traviss,75,1, 3.90,559
1130,Daughter of the Bear King,,,Eleanor Arnason,74,1, 3.08,36
1130,Dante's Equation,,,Jane Jensen,74,1, 3.70,923
1130,Marked by Light ,Ambasadora ,,Heidi Ruby Miller,74,1, 3.96,195
1130,The Bar Code Tattoo ,Bar Code ,1,Suzanne Weyn,74,1, 3.55,15761
1130,Liam's Promise ,The Doomsday Kids ,,Karyn Langhorne Folan,74,1, 4.03,96
1130,In the Company of Others,,,Julie E. Czerneda,74,1, 3.97,1025
1130,A House of Secrets,,,Patti   Davis,74,1, 3.57,28
1130,Freedom's Choice ,Catteni ,2,Anne McCaffrey,74,1, 3.92,7143
1130,The World Before ,Wess'Har Wars ,3,Karen Traviss,74,1, 3.95,785
