Song title,URL,Popularity,Year
Just a Touch Lyrics,http://www.metrolyrics.com/just-a-touch-lyrics-rem.html,6,2006
King of Birds Lyrics,http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,13.726078121136,2008
King Of Comedy Lyrics,http://www.metrolyrics.com/king-of-comedy-lyrics-rem.html,6,2006
King Of The Road Lyrics,http://www.metrolyrics.com/king-of-the-road-lyrics-rem.html,6,2006
Kohoutek Lyrics,http://www.metrolyrics.com/kohoutek-lyrics-rem.html,13.726078121136,2006
Laughing Lyrics,http://www.metrolyrics.com/laughing-lyrics-rem.html,6,2006
Leave Lyrics,http://www.metrolyrics.com/leave-lyrics-rem.html,6,2006
Leaving New York Lyrics,http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,31.870966422084,2004
Let Me In Lyrics,http://www.metrolyrics.com/let-me-in-lyrics-rem.html,27.452156242272,2006
Letter Never Sent Lyrics,http://www.metrolyrics.com/letter-never-sent-lyrics-rem.html,6,2006
Life And How To Live It Lyrics,http://www.metrolyrics.com/life-and-how-to-live-it-lyrics-rem.html,6,2011
Lightnin' Hopkins Lyrics,http://www.metrolyrics.com/lightnin-hopkins-lyrics-rem.html,6,2008
Lisa Sez Lyrics,http://www.metrolyrics.com/lisa-sez-lyrics-rem.html,6,2006
Little America Lyrics,http://www.metrolyrics.com/little-america-lyrics-rem.html,6,2006
Living Well Is The Best Revenge Lyrics,http://www.metrolyrics.com/living-well-is-the-best-revenge-lyrics-rem.html,27.452156242272,2008
Loosing My Religion Lyrics,http://www.metrolyrics.com/loosing-my-religion-lyrics-rem.html,6,2006
Losing My Religion Lyrics,http://www.metrolyrics.com/losing-my-religion-lyrics-rem.html,95.612899266253,2003
Lotus Lyrics,http://www.metrolyrics.com/lotus-lyrics-rem.html,13.726078121136,2006
Love Is All Around Lyrics,http://www.metrolyrics.com/love-is-all-around-lyrics-rem.html,27.452156242272,2014
Low Lyrics,http://www.metrolyrics.com/low-lyrics-rem.html,6,2014
Low Desert Lyrics,http://www.metrolyrics.com/low-desert-lyrics-rem.html,6,2006
Lynne & Andy Lyrics,http://www.metrolyrics.com/lynne-andy-lyrics-rem.html,6,2008
Make It All Ok Lyrics,http://www.metrolyrics.com/make-it-all-ok-lyrics-rem.html,6,2007
Make It All Okay Lyrics,http://www.metrolyrics.com/make-it-all-okay-lyrics-rem.html,6,2004
Man On The Moon Lyrics,http://www.metrolyrics.com/man-on-the-moon-lyrics-rem.html,78.244680896031,2003
Man On The Moon (orchestral) Lyrics,http://www.metrolyrics.com/man-on-the-moon-orchestral-lyrics-rem.html,6,2008
Man-Sized Wreath Lyrics,http://www.metrolyrics.com/mansized-wreath-lyrics-rem.html,6,2008
Maps And Legends Lyrics,http://www.metrolyrics.com/maps-and-legends-lyrics-rem.html,6,2006
Me In Honey Lyrics,http://www.metrolyrics.com/me-in-honey-lyrics-rem.html,21.755319103969,2006
