name,URL,city,state
Chicago Rocks & Minerals Society,http://www.chicagorocks.org/,Skokie,Illinois
Elgin Rock Club,http://elginrockclub.org/,Elgin,Illinois
"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/,Macomb,Illinois
Lincoln Orbit Earth Science Society,http://www.loess.org/,Springfield,Illinois
Midwest Historical Research Society,http://www.mhrsusa.com/,Chicago,Illinois
Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/,Freeport,Illinois
Peoria Academy of Science Geology Section,http://www.pasgeology.com/,Peoria,Illinois
Southern Illinois Earth Science Club,http://www.siesclub.org/,Benton,Illinois
West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/,Macomb,Illinois
West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/,Elmhurst,Illinois
500 Earth Sciences Club,http://www.500earthsciencesclub.org/,Indianapolis,Indiana
Brown County Rock and Mineral Club,http://browncountyrock.webs.com/,Nashville,Indiana
Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub,Crown Point,Indiana
Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/,Evansville,Indiana
"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/,Richmond,Indiana
"Lawrence County Rock Club, Inc",http://www.lawrencecountyrockclub.org/,Bedford,Indiana
"Michiana Gem & Mineral Society, Inc.",http://www.michianagms.org/,South Bend,Indiana
Three Rivers Gem & Mineral Society,http://3riversgem_mineral.tripod.com/,Fort Wayne,Indiana
Cedar Valley Rocks and Minerals Society,http://www.cedarvalleyrockclub.org/,Cedar Rapids,Iowa
Des Moines Lapidary Society,http://dmlapidary.org/,Des Moines,Iowa
Geology Club @ Cornell College,http://orgs.cornellcollege.edu/geo_club/,Mount Vernon,Iowa
Iowa State University Geology Club,https://www.facebook.com/ISUGEOCLUB/,Ames,Iowa
River Valley Rockhounds,http://amfed.org/mwf/states/Iowa/RiverValley.html,Fort Dodge,Iowa
The Sac & Fox Lapidary Club,http://members.iowatelecom.net/billrath/rock_club.html,Fairfield,Iowa
Olathe Gem and Mineral Society,http://olathegemclub.com/,Kansas City,Kansas
Topeka Gem & Mineral Society,http://www.topekagms.org/,Topeka,Kansas
Wichita Gem and Mineral Society,http://www.wgmsks.org/,Wichita,Kansas
Wichita Paleontological Society,http://www.reocities.com/CapeCanaveral/Hangar/4265/home.html,Wichita,Kansas
Blue Grass Gem & Mineral Club of Central Kentucky,http://bggamc.homestead.com/,Lexington,Kentucky
KYANA Geological Society,http://www.kyanageo.org/,Louisville,Kentucky
Kentucky Paleontological Society,http://www.uky.edu/OtherOrgs/KPS/,Lexington,Kentucky
Ark-La-Tex Gem & Mineral Society,http://larockclub.com/,Shreveport,Louisiana
Baton Rouge Gem & Mineral Society,http://www.brgemandmineral.org/,Baton Rouge,Louisiana
DeRidder Gem & Mineral Society,https://www.facebook.com/DeRidder-Gem-Mineral-Society-1123146734440993/,Leesville,Louisiana
Kennebec Rocks and Minerals Club,http://kennebec-rocksandminerals.com/,Winthrop,Maine
Maine Mineralogical & Geological Society,http://mainemineralclub.org/,Portland,Maine
Oxford County Mineral and Gem Association,http://ocmgassoc.blogspot.com/,South Paris,Maine
Penobscot Mineral and Lapidary Club,http://penobscotminerallapidaryclub.com/index.html,Milford,Maine
American Fossil Federation,http://americanfossilfederation.org/Home.html,Bowie,Maryland
Baltimore Mineral Society,http://www.baltimoremineralsociety.org/,Baltimore,Maryland
Calvert Marine Museum Fossil Club,http://www.calvertmarinemuseum.com/209/Fossil-Club,Solomons,Maryland
